,F1014anonym,F1014C1,F1014C2,F1014C3,F1014C4,F1014C5,F1014C6,F1014C7,F1014C8,F1014C9,F1014C10
10506,Nichts,,,,,,,,,,
10507,Nichts,,,,,,,,,,
10508,Nichts,Nichts,,,,,,,,,
10509,Nichts,,,,,,,,,,
10510,Nichts,,,,,,,,,,
10511,Nichts,Nichts,,,,,,,,,
10512,keine Angaben,,,,,,,,,,
10513,wüsste ich kein Argument,Nichts,,,,,,,,,
10514,Nichts,,,,,,,,,,
10515,Nichts,,,,,,,,,,
10516,Nichts,,,,,,,,,,
10517,Nichts,,,,,,,,,,
10518,Nichts,,,,,,,,,,
10519,Nichts,,,,,,,,,,
10520,Nichts,,,,,,,,,,
10521,Nichts,,,,,,,,,,
10522,Nichts,,,,,,,,,,
10523,Nichts,,,,,,,,,,
10524,Freunde haben eigenheim/eigentumswohnung,,,,,,,,,,
10525,Nichts,,,,,,,,,,
10526,Nichts,Nichts,,,,,,,,,
10527,Nichts,,,,,,,,,,
10528,Nichts,,,,,,,,,,
10529,Nichts,,,,,,,,,,
10530,Nichts,,,,,,,,,,
10531,Nichts,,,,,,,,,,
10532,Nichts,unflexible Bedingungen,,,,,,,,,
10533,Nichts,,,,,,,,,,
10534,Nichts,,,,,,,,,,
10535,Nichts,,,,,,,,,,
10536,Nichts,,,,,,,,,,
10537,Nichts,,,,,,,,,,
10539,Nichts,,,,,,,,,,
10540,Nichts,Nichts,,,,,,,,,
10541,Nichts,,,,,,,,,,
10542,Nichts,,,,,,,,,,
10543,Nichts,,,,,,,,,,
10544,Nichts,,,,,,,,,,
10545,Nichts,,,,,,,,,,
10546,die unklare  Darstellung,Unklare Entscheidungsverfahren,,,,,,,,,
10547,Nichts,,,,,,,,,,
10549,Nichts,,,,,,,,,,
10550,Nichts,,,,,,,,,,
10551,Nichts,,,,,,,,,,
10552,Nichts,,,,,,,,,,
10553,Nichts,,,,,,,,,,
10554,Nichts,Aufwändige Beantragung,,,,,,,,,
10555,Nichts,,,,,,,,,,
10556,Nichts,,,,,,,,,,
10557,Nichts,,,,,,,,,,
10559,Nichts,,,,,,,,,,
10560,Nichts,,,,,,,,,,
10561,Nichts,,,,,,,,,,
10562,Nichts,Nichts,,,,,,,,,
10563,Nichts,,,,,,,,,,
10564,Nichts,,,,,,,,,,
10566,Nichts,,,,,,,,,,
10567,Nichts,,,,,,,,,,
10568,Nichts,,,,,,,,,,
10569,Nichts,Nichts,,,,,,,,,
10570,Nichts,,,,,,,,,,
10571,Nichts,Nichts,,,,,,,,,
10572,Nichts,,,,,,,,,,
10573,Nichts,Nichts,,,,,,,,,
10574,Nichts,Nichts,,,,,,,,,
10575,Aufwand - Nutzen könnte besser sein,Aufwändige Beantragung,,,,,,,,,
10576,Nichts,Nichts,,,,,,,,,
10577,Nichts,,,,,,,,,,
10579,Nichts,,,,,,,,,,
10580,Nichts,,,,,,,,,,
10581,Nichts,,,,,,,,,,
10582,Nichts,,,,,,,,,,
10583,Nichts,,,,,,,,,,
10584,Nichts,Sonstiges,,,,,,,,,
10585,Nichts,,,,,,,,,,
10586,Nichts,,,,,,,,,,
10587,Nichts,,,,,,,,,,
10588,Nichts,,,,,,,,,,
10589,Nichts,,,,,,,,,,
10590,Nichts,Nichts,,,,,,,,,
10591,Nichts,,,,,,,,,,
10592,Nichts,,,,,,,,,,
10593,Nichts,,,,,,,,,,
10594,Nichts,,,,,,,,,,
10595,Nichts,Nichts,,,,,,,,,
10596,Nichts,,,,,,,,,,
10597,Nichts,,,,,,,,,,
10598,Nichts,,,,,,,,,,
10600,Nichts,,,,,,,,,,
10602,Nichts,,,,,,,,,,
10603,Nichts,,,,,,,,,,
10604,Nichts,,,,,,,,,,
10605,Nichts,Nichts,,,,,,,,,
10606,"Wir leben als Rentner zurückgezogen auf dem Land , es gibt hier keinen , dem ich  klugscheißernd  was empfehlen könntNichts",,,,,,,,,,
10607,Nichts,Nichts,,,,,,,,,
10608,siehe Text aus vorhergehender Seite,,,,,,,,,,
10609,Anzuwendende TechnikZeit der Bearbeitung keine Antwort auf E-MaNichts,Aufwändige Beantragung,,,,,,,,,
10610,Nichts,,,,,,,,,,
10611,Nichts,,,,,,,,,,
10612,Nichts,,,,,,,,,,
10613,Nichts,Nichts,,,,,,,,,
10614,Nichts,,,,,,,,,,
10615,Nichts,,,,,,,,,,
10616,Nichts,,,,,,,,,,
10617,Nichts,,,,,,,,,,
10618,Nichts,,,,,,,,,,
10619,Nichts,Nichts,,,,,,,,,
10620,Nichts,,,,,,,,,,
10621,Nichts,,,,,,,,,,
10622,Nichts,,,,,,,,,,
10623,Nichts,,,,,,,,,,
10624,Nichts,,,,,,,,,,
10625,Nichts,,,,,,,,,,
10626,"Hier die Anmerkung oben zur Pflicht, einen Energieberater heranziehen zu müssNichts",Kosten für Energieberater,,,,,,,,,
10627,Nichts,,,,,,,,,,
10628,Nichts,,,,,,,,,,
10629,Nichts,,,,,,,,,,
10630,Nichts,,,,,,,,,,
10632,Nichts,,,,,,,,,,
10633,Nichts,Nichts,,,,,,,,,
10634,Nichts,,,,,,,,,,
10635,Nichts,,,,,,,,,,
10636,Nichts,Nichts,,,,,,,,,
10637,Nichts,,,,,,,,,,
10638,Nichts,Lange Bearbeitungsdauer,,,,,,,,,
10640,Nichts,,,,,,,,,,
10641,Noch keine ErfahruNichts,,,,,,,,,,
10642,Nichts,,,,,,,,,,
10643,Nichts,Nichts,,,,,,,,,
10644,Nichts,,,,,,,,,,
10645,Nichts,,,,,,,,,,
10646,Nichts,,,,,,,,,,
10647,Nichts,,,,,,,,,,
10648,Nichts,,,,,,,,,,
10649,Nichts,,,,,,,,,,
10650,Nichts,Nichts,,,,,,,,,
10651,Nichts,,,,,,,,,,
10652,Nichts,,,,,,,,,,
10653,Nichts,,,,,,,,,,
10654,Umständliches Antragsverfahren,Aufwändige Beantragung,,,,,,,,,
10655,Nichts,,,,,,,,,,
10657,Nichts,,,,,,,,,,
10659,Nichts,Nichts,,,,,,,,,
10660,Nichts,,,,,,,,,,
10661,Nichts,Nichts,,,,,,,,,
10662,Nichts,,,,,,,,,,
10663,Nichts,,,,,,,,,,
10664,Nichts,Nichts,,,,,,,,,
10665,KfW macht ja keine Direktgeschäfte sondern wickelt über die (Haus)Bank ab,Abhängigkeit von der Bank,,,,,,,,,
10666,Teilweise sind die Voraussetzungen sehr hoch,Zusätzliche Kosten bei Ausführung/ für Ingenieurleistungen,,,,,,,,,
10667,Nichts,Nichts,,,,,,,,,
10668,Die Ablehnung unseres Vorhabens,Sonstiges,,,,,,,,,
10669,Nichts,,,,,,,,,,
10670,Nichts,Aufwändige Beantragung,,,,,,,,,
10671,"Es macht keinen Sinn, erst einen teuren Energieberater hinzuziehen zu müssen, um dann verhältnismäßig wenig Förderung zu bekommNichts",Kosten für Energieberater,,,,,,,,,
10672,Nichts,,,,,,,,,,
10674,Nichts,,,,,,,,,,
10675,Nichts,,,,,,,,,,
10676,Nichts,,,,,,,,,,
10677,Nichts,,,,,,,,,,
10678,Nichts,,,,,,,,,,
10679,Nichts,,,,,,,,,,
10681,Nichts,,,,,,,,,,
10682,Nichts,,,,,,,,,,
10683,Nichts,,,,,,,,,,
10684,Nichts,Der derzeit niedrige Zinssatz,,,,,,,,,
10685,Nichts,Nichts,,,,,,,,,
10686,Nichts,,,,,,,,,,
10687,Nichts,Abhängigkeit von der Bank,,,,,,,,,
10688,Nichts,,,,,,,,,,
10689,Nichts,,,,,,,,,,
10690,Nichts,,,,,,,,,,
10691,"Zu träger, anonymer und undurchschaubarer Apparat",Lange Bearbeitungsdauer,Unklare Entscheidungsverfahren,,,,,,,,
10692,Nichts,Nichts,,,,,,,,,
10694,Nichts,,,,,,,,,,
10695,Nichts,,,,,,,,,,
10696,"Oftmals nur zinsgünstige Kredite, Zuschuss fehlt oft, bei der hausfinanzierung hat man bereits einen Kredit und für Maßnamen sollte es einen zuschuss gebNichts Und keinen weiteren Kredit",Höhe des Zuschusses nicht ausreichend,,,,,,,,,
10697,Nichts,,,,,,,,,,
10698,Nichts,,,,,,,,,,
10699,Nichts,,,,,,,,,,
10700,Nichts,Nichts,,,,,,,,,
10701,Nichts,,,,,,,,,,
10702,Nichts,,,,,,,,,,
10703,Nichts,Nichts,,,,,,,,,
10704,Nichts,,,,,,,,,,
10705,Nichts,,,,,,,,,,
10706,Kein Bedarf,,,,,,,,,,
10707,Nichts,Nichts,,,,,,,,,
10708,Nichts,,,,,,,,,,
10709,Nichts,,,,,,,,,,
10710,Nichts,,,,,,,,,,
10711,Nichts,,,,,,,,,,
10712,Nichts,,,,,,,,,,
10714,Nichts,,,,,,,,,,
10715,Nichts,,,,,,,,,,
10716,Nichts,,,,,,,,,,
10717,Nichts,,,,,,,,,,
10718,Nichts,,,,,,,,,,
10720,Nichts,,,,,,,,,,
10721,Nichts,,,,,,,,,,
10722,Nichts,,,,,,,,,,
10723,Nichts,,,,,,,,,,
10724,Nichts,,,,,,,,,,
10725,Nichts,,,,,,,,,,
10726,Nichts,,,,,,,,,,
10727,Nichts,,,,,,,,,,
10728,Nichts,,,,,,,,,,
10729,Nichts,,,,,,,,,,
10730,Nichts,Abhängigkeit von der Bank,,,,,,,,,
10731,Nichts,,,,,,,,,,
10732,Nichts,,,,,,,,,,
10733,Nichts,,,,,,,,,,
10734,Nichts,,,,,,,,,,
10735,Nichts,,,,,,,,,,
10736,Nichts,,,,,,,,,,
10738,Nichts,,,,,,,,,,
10739,Nichts,Nichts,,,,,,,,,
10740,Nichts,Nichts,,,,,,,,,
10741,Habe keine Erfahrung mit der Wohnbaufinanzierung  der KfW,,,,,,,,,,
10742,Nichts,,,,,,,,,,
10743,Nichts,,,,,,,,,,
10744,Antrag muß oft bereits vor der Maßnahme gestellt werdNichts,unflexible Bedingungen,,,,,,,,,
10745,Nichts,,,,,,,,,,
10746,Nichts,,,,,,,,,,
10747,Nichts,,,,,,,,,,
10748,Nichts,Nichts,,,,,,,,,
10749,Nichts,,,,,,,,,,
10750,Nichts,,,,,,,,,,
10751,Nichts,,,,,,,,,,
10752,Nichts,Nichts,,,,,,,,,
10753,Nichts,,,,,,,,,,
10754,Nichts,,,,,,,,,,
10755,Nichts,,,,,,,,,,
10756,Nichts,Nichts,,,,,,,,,
10758,Nichts,,,,,,,,,,
10759,Nichts,,,,,,,,,,
10760,Nichts,,,,,,,,,,
10761,Nichts,Nichts,,,,,,,,,
10763,Nichts,,,,,,,,,,
10764,Nichts,,,,,,,,,,
10765,Nichts,,,,,,,,,,
10766,Komplizierte FörderbedingungNichts Umständliche Antragstellung KostenNichtsBilanz teilweise schlecht Grenzen der Förderung,Aufwändige Beantragung,Unklare Entscheidungsverfahren,,,,,,,,
10767,Nichts,,,,,,,,,,
10768,Nichts,,,,,,,,,,
10769,Nichts,,,,,,,,,,
10770,Nichts,,,,,,,,,,
10771,Nichts,,,,,,,,,,
10772,Nichts,Nichts,,,,,,,,,
10773,Nichts,Nichts,,,,,,,,,
10774,Nichts,,,,,,,,,,
10775,Nichts,,,,,,,,,,
10776,Nichts,,,,,,,,,,
10777,Nichts,,,,,,,,,,
10778,Nichts,Nichts,,,,,,,,,
10779,Nichts,,,,,,,,,,
10780,Nichts,,,,,,,,,,
10781,Nichts,,,,,,,,,,
10782,Nichts,,,,,,,,,,
10783,Nichts,,,,,,,,,,
10784,Nichts,,,,,,,,,,
10785,Nichts,,,,,,,,,,
10786,Nichts,,,,,,,,,,
10787,Nichts,,,,,,,,,,
10788,Nichts,,,,,,,,,,
10789,Nichts,,,,,,,,,,
10790,Nichts,,,,,,,,,,
10791,Nichts,,,,,,,,,,
10792,Nichts,,,,,,,,,,
10793,Nichts,,,,,,,,,,
10794,"Die Art und Weise der AblehnuNichts Erst wird der antrag positiv beschieden, dann abgelehnt, ohne BegründuNichts",Sonstiges,,,,,,,,,
10795,Nichts,,,,,,,,,,
10796,Nichts,,,,,,,,,,
10797,Nichts,Nichts,,,,,,,,,
10798,Nichts,,,,,,,,,,
10799,Nichts,Nichts,,,,,,,,,
10800,Nichts,Nichts,,,,,,,,,
10801,Nichts,,,,,,,,,,
10802,Nichts,,,,,,,,,,
10803,Nichts,,,,,,,,,,
10804,Nichts,,,,,,,,,,
10805,Nichts,Nichts,,,,,,,,,
10806,Nichts,,,,,,,,,,
10807,Nichts,,,,,,,,,,
10808,Nichts,,,,,,,,,,
10809,Nichts,Nichts,,,,,,,,,
10810,Nichts,,,,,,,,,,
10811,Nichts,,,,,,,,,,
10812,Nichts,,,,,,,,,,
10813,Nichts,,,,,,,,,,
10814,Nichts,,,,,,,,,,
10815,Nichts,,,,,,,,,,
10816,Nichts,,,,,,,,,,
10817,Nichts,,,,,,,,,,
10818,lebe kranheitsbedingt alleine ohne Außen-Kontakte,,,,,,,,,,
10819,Nichts,,,,,,,,,,
10820,Nichts,,,,,,,,,,
10821,Nichts,Nichts,,,,,,,,,
10822,Nichts,,,,,,,,,,
10823,Die mangelnde Erfahrung mit der Durchführung des Verfahrens ermöglicht noch keine abschließende BeurteiluNichts,,,,,,,,,,
10824,Nichts,Nichts,,,,,,,,,
10825,Nichts,,,,,,,,,,
10826,Nichts,,,,,,,,,,
10827,Nichts,,,,,,,,,,
10828,Nichts,,,,,,,,,,
10829,Nichts,,,,,,,,,,
10830,Nichts,,,,,,,,,,
10831,Nichts,,,,,,,,,,
10832,Nichts,,,,,,,,,,
10833,Nichts,,,,,,,,,,
10834,Nichts,,,,,,,,,,
10835,Nichts,,,,,,,,,,
10837,Die versteckten Pferdefüsse in unserem FaNichts,Unklare Entscheidungsverfahren,,,,,,,,,
10838,Nichts,,,,,,,,,,
10840,Wartezeiten,Lange Bearbeitungsdauer,,,,,,,,,
10841,Nichts,,,,,,,,,,
10842,Nichts,,,,,,,,,,
10844,Nichts,,,,,,,,,,
10845,Nichts,,,,,,,,,,
10846,Nichts,,,,,,,,,,
10848,Nichts,,,,,,,,,,
10849,Nichts,,,,,,,,,,
10850,Nichts,,,,,,,,,,
10851,Nichts,,,,,,,,,,
10852,Nichts,,,,,,,,,,
10853,Nichts,,,,,,,,,,
10854,Nichts,,,,,,,,,,
10855,Zu hohes EinkommNichts.,Sonstiges,,,,,,,,,
10856,Nichts,,,,,,,,,,
10857,"Ich würde Sie weiterempfehlen, da Sie Kredite zu sehr günstigem Zinsatz vergebNichts - Finde ich toll",Nichts,,,,,,,,,
10858,Nichts,,,,,,,,,,
10859,Nichts,,,,,,,,,,
10860,Nichts,,,,,,,,,,
10861,Nichts,,,,,,,,,,
10862,Nichts,,,,,,,,,,
10863,Falls andere Banken günstigere Konditionen bieten,Der derzeit niedrige Zinssatz,,,,,,,,,
10864,Nichts,,,,,,,,,,
10865,Nichts,,,,,,,,,,
10866,Nichts,,,,,,,,,,
10867,Nichts,,,,,,,,,,
10868,Nichts,Nichts,,,,,,,,,
10869,.,,,,,,,,,,
10870,Nichts,,,,,,,,,,
10871,Nichts,Nichts,,,,,,,,,
10872,Nichts,,,,,,,,,,
10873,Nichts,,,,,,,,,,
10874,Nichts,,,,,,,,,,
10875,Nichts,unflexible Bedingungen,,,,,,,,,
10876,Nichts,,,,,,,,,,
10877,Nichts,,,,,,,,,,
10878,Nichts,Nichts,,,,,,,,,
10879,Nichts,,,,,,,,,,
10880,Nichts,,,,,,,,,,
10881,Nichts,,,,,,,,,,
10882,Nichts,,,,,,,,,,
10883,Nichts,,,,,,,,,,
10884,Nichts,,,,,,,,,,
10885,Nichts,,,,,,,,,,
10886,Nichts,,,,,,,,,,
10887,Nichts,Nichts,,,,,,,,,
10888,Nichts,Sonstiges,,,,,,,,,
10889,Nichts,,,,,,,,,,
10890,Nichts,,,,,,,,,,
10893,Nichts,,,,,,,,,,
10894,Nichts,,,,,,,,,,
10895,Nichts,,,,,,,,,,
10897,Nichts,Nichts,,,,,,,,,
10898,Nichts,Nichts,,,,,,,,,
10899,Nichts,,,,,,,,,,
10900,Nichts,,,,,,,,,,
10901,Nichts,,,,,,,,,,
10902,Nichts,,,,,,,,,,
10903,Nichts,,,,,,,,,,
10904,Nichts,,,,,,,,,,
10905,Nichts,,,,,,,,,,
10906,Nichts,,,,,,,,,,
10907,Nichts,,,,,,,,,,
10908,Nichts,Nichts,,,,,,,,,
10909,Nichts,,,,,,,,,,
10910,Nichts,,,,,,,,,,
10911,Nichts,,,,,,,,,,
10912,Nichts,,,,,,,,,,
10913,Die lange BinduNichts Die Tilgungsrate wird von KfW vorgeschriebNichts,unflexible Bedingungen,,,,,,,,,
10914,Nichts,,,,,,,,,,
10915,Nichts,,,,,,,,,,
10916,Nichts,Nichts,,,,,,,,,
10917,Nichts,,,,,,,,,,
10918,Nichts,,,,,,,,,,
10919,Nichts,,,,,,,,,,
10920,Nichts,,,,,,,,,,
10921,Nichts,,,,,,,,,,
10923,Nichts,,,,,,,,,,
10924,Top,Nichts,,,,,,,,,
10925,Nichts,,,,,,,,,,
10926,Nichts,,,,,,,,,,
10927,Nichts,,,,,,,,,,
10928,Nichts,,,,,,,,,,
10929,Nichts,,,,,,,,,,
10930,Nichts,,,,,,,,,,
10931,Nichts,,,,,,,,,,
10932,Wir hätte gerne das geld zurück,Sonstiges,,,,,,,,,
10933,Nichts,,,,,,,,,,
10934,Nichts,,,,,,,,,,
10935,Nichts,,,,,,,,,,
10936,Nichts,,,,,,,,,,
10937,Nichts,,,,,,,,,,
10938,Nichts,,,,,,,,,,
10939,Nichts,,,,,,,,,,
10940,Nichts,,,,,,,,,,
10941,Nichts,,,,,,,,,,
10942,Nichts,,,,,,,,,,
10943,Nichts,,,,,,,,,,
10944,Nichts,,,,,,,,,,
10945,Nichts,,,,,,,,,,
10946,Nichts,,,,,,,,,,
10948,Nichts,,,,,,,,,,
10949,Nichts,Nichts,,,,,,,,,
10950,Nichts,,,,,,,,,,
10951,Nichts,,,,,,,,,,
10953,Komplizierte AntragstelluNichts,Aufwändige Beantragung,,,,,,,,,
10954,Nichts,,,,,,,,,,
10955,Nichts,,,,,,,,,,
10956,Nichts,,,,,,,,,,
10957,Nichts,,,,,,,,,,
10958,Nichts,,,,,,,,,,
10959,Nichts,,,,,,,,,,
10960,Nichts,,,,,,,,,,
10961,Nichts,,,,,,,,,,
10962,Nichts,,,,,,,,,,
10963,Nichts,,,,,,,,,,
10964,Nichts,,,,,,,,,,
10965,Nichts,Nichts,,,,,,,,,
10966,Nichts,,,,,,,,,,
10967,Das keine Anlaufstelle gibt,mangelhafter Support,,,,,,,,,
10969,Nichts,,,,,,,,,,
10970,Nichts,,,,,,,,,,
10971,Nichts,,,,,,,,,,
10972,Nichts,,,,,,,,,,
10973,Nichts,,,,,,,,,,
10974,Nichts,unflexible Bedingungen,,,,,,,,,
10975,Nichts,Nichts,,,,,,,,,
10976,Nichts,Nichts,,,,,,,,,
10977,Nichts,,,,,,,,,,
10978,Nichts,,,,,,,,,,
10979,Nichts,,,,,,,,,,
10981,Nichts,,,,,,,,,,
10982,Ja,,,,,,,,,,
10983,Nichts,,,,,,,,,,
10984,Nichts,,,,,,,,,,
10985,Nichts,Nichts,,,,,,,,,
10986,Nichts,,,,,,,,,,
10987,Siehe vorher,,,,,,,,,,
10988,Nichts,,,,,,,,,,
10989,Umständlich,Aufwändige Beantragung,,,,,,,,,
10990,Nichts,Nichts,,,,,,,,,
10991,Nichts,,,,,,,,,,
10992,Nichts,,,,,,,,,,
10993,Nichts,,,,,,,,,,
10994,Nichts,Nichts,,,,,,,,,
10995,Nichts,,,,,,,,,,
10996,Nichts,,,,,,,,,,
10997,Nichts,,,,,,,,,,
10998,Nichts,,,,,,,,,,
10999,Nichts,,,,,,,,,,
11000,Nichts,,,,,,,,,,
11001,Nichts,,,,,,,,,,
11002,Nichts,,,,,,,,,,
11004,Nichts,Nichts,,,,,,,,,
11005,Nichts,,,,,,,,,,
11006,Nichts,,,,,,,,,,
11007,Nichts,,,,,,,,,,
11008,Nichts,,,,,,,,,,
11009,Nichts,,,,,,,,,,
11010,Nichts,Zusätzliche Kosten bei Ausführung/ für Ingenieurleistungen,Kosten-/Nutzenverhältnis,,,,,,,,
11011,Nichts,Nichts,,,,,,,,,
11012,Nichts,,,,,,,,,,
11013,Nichts,Nichts,,,,,,,,,
11014,Nichts,Nichts,,,,,,,,,
11015,Nichts,,,,,,,,,,
11016,Nichts,,,,,,,,,,
11017,Nichts,,,,,,,,,,
11018,Nichts,,,,,,,,,,
11019,Nichts,,,,,,,,,,
11020,Nichts,Nichts,,,,,,,,,
11021,Nichts,Sonstiges,,,,,,,,,
11022,Nichts,,,,,,,,,,
11023,Nichts,,,,,,,,,,
11024,Nichts,Nichts,,,,,,,,,
11025,Nichts,,,,,,,,,,
11026,Nichts,Nichts,,,,,,,,,
11027,Nichts,,,,,,,,,,
11028,/,,,,,,,,,,
11029,Nichts,,,,,,,,,,
11030,Nichts,,,,,,,,,,
11031,Nichts,,,,,,,,,,
11032,Nichts,,,,,,,,,,
11033,Nichts,,,,,,,,,,
11035,Nichts,,,,,,,,,,
11036,Nichts,,,,,,,,,,
11037,Nichts,,,,,,,,,,
11038,Nichts,,,,,,,,,,
11039,Nichts,Nichts,,,,,,,,,
11040,Nichts,,,,,,,,,,
11041,Nichts,,,,,,,,,,
11042,Ich halte mich generell aus den Finanzierungen der anderen heraNichts,,,,,,,,,,
11043,Nichts,,,,,,,,,,
11045,Nichts,,,,,,,,,,
11046,Nichts,,,,,,,,,,
11047,Nichts,Unklare Entscheidungsverfahren,,,,,,,,,
11048,Nichts,,,,,,,,,,
11049,Nichts,,,,,,,,,,
11050,Nichts,,,,,,,,,,
11051,Nichts,,,,,,,,,,
11052,Nichts,,,,,,,,,,
11053,Nichts,,,,,,,,,,
11054,Nichts,,,,,,,,,,
11055,"Der bürokratische und finanzielle Aufwand (Baubegleitung, Nachweise, eNichts)",Aufwändige Beantragung,,,,,,,,,
11056,Nichts,Nichts,,,,,,,,,
11057,Komplexität,Aufwändige Beantragung,,,,,,,,,
11058,Nichts,Nichts,,,,,,,,,
11059,Nichts,,,,,,,,,,
11060,Nichts,,,,,,,,,,
11061,Nichts,,,,,,,,,,
11062,Nichts,,,,,,,,,,
11063,Nichts,,,,,,,,,,
11065,Nichts,Nichts,,,,,,,,,
11066,Nichts,,,,,,,,,,
11067,Nichts,,,,,,,,,,
11068,Nichts,,,,,,,,,,
11069,Nichts,,,,,,,,,,
11071,Nichts,,,,,,,,,,
11072,Nichts,,,,,,,,,,
11073,Nichts,mangelhafter Support,,,,,,,,,
11074,Nichts,,,,,,,,,,
11075,Nichts,,,,,,,,,,
11076,Nichts,Sonstiges,,,,,,,,,
11077,Nichts,,,,,,,,,,
11078,Nichts,Abhängigkeit von der Bank,unflexible Bedingungen,,,,,,,,
11079,Nichts,,,,,,,,,,
11080,Nichts,,,,,,,,,,
11081,Nichts,,,,,,,,,,
11082,Nichts,,,,,,,,,,
11083,Nichts,,,,,,,,,,
11084,Nichts,Nichts,,,,,,,,,
11085,Nichts,,,,,,,,,,
11086,Nichts,,,,,,,,,,
11087,Die Energieberatung kann bei kleineren Vorhaben den Zuschuss erheblich reduzieren!,Kosten für Energieberater,,,,,,,,,
11089,Nichts,,,,,,,,,,
11090,Nichts,,,,,,,,,,
11091,Nichts,,,,,,,,,,
11092,Nichts,,,,,,,,,,
11093,Nichts,,,,,,,,,,
11094,Nichts,,,,,,,,,,
11095,Nichts,Nichts,,,,,,,,,
11096,Nichts,,,,,,,,,,
11097,Nichts,Nichts,,,,,,,,,
11098,Nichts,Nichts,,,,,,,,,
11099,Nichts,Nichts,,,,,,,,,
11100,Nichts,,,,,,,,,,
11101,Nichts,Der derzeit niedrige Zinssatz,,,,,,,,,
11102,Einfach zu beantragen,Nichts,,,,,,,,,
11103,nichst,Nichts,,,,,,,,,
11104,Insgesamt doch sehr großer Aufwand mit dem Energieberater uNichts !,Aufwändige Beantragung,Kosten für Energieberater,,,,,,,,
11105,Nichts,,,,,,,,,,
11106,Nichts,,,,,,,,,,
11107,Nichts,,,,,,,,,,
11108,Nichts,,,,,,,,,,
11109,Nichts,,,,,,,,,,
11110,Nichts,,,,,,,,,,
11111,Nichts,,,,,,,,,,
11112,Nichts,,,,,,,,,,
11113,Nichts,,,,,,,,,,
11114,Nichts,Sonstiges,,,,,,,,,
11115,Nichts,,,,,,,,,,
11116,Nichts,,,,,,,,,,
11117,Nichts,,,,,,,,,,
11118,Nichts,,,,,,,,,,
11119,Nichts,,,,,,,,,,
11120,Nichts,,,,,,,,,,
11121,Nichts,,,,,,,,,,
11123,Nichts,Nichts,,,,,,,,,
11124,Nichts,,,,,,,,,,
11125,Nichts,,,,,,,,,,
11126,Nichts,,,,,,,,,,
11127,Nichts,,,,,,,,,,
11128,Nichts,,,,,,,,,,
11129,Nichts,,,,,,,,,,
11130,Nichts,,,,,,,,,,
11131,Nichts,,,,,,,,,,
11132,Nichts,,,,,,,,,,
11133,Nichts,,,,,,,,,,
11134,Nichts,,,,,,,,,,
11135,Nichts,,,,,,,,,,
11136,Nichts,,,,,,,,,,
11137,Viel zu komplizieNichts,Aufwändige Beantragung,,,,,,,,,
11138,Nichts,,,,,,,,,,
11139,Nichts,Nichts,,,,,,,,,
11140,"langer förderweg, viele Nachsendungen uNichts nötNichts",Aufwändige Beantragung,,,,,,,,,
11141,Nichts,,,,,,,,,,
11142,Nichts,,,,,,,,,,
11143,Nichts,,,,,,,,,,
11144,Nichts,,,,,,,,,,
11145,Nichts,,,,,,,,,,
11146,Nichts,,,,,,,,,,
11147,Nichts,Nichts,,,,,,,,,
11148,Nichts,,,,,,,,,,
11149,Nichts,,,,,,,,,,
11150,Nichts,Nichts,,,,,,,,,
11151,Nichts,,,,,,,,,,
11152,Nichts,,,,,,,,,,
11153,Nichts,,,,,,,,,,
11154,Nichts,,,,,,,,,,
11155,Nichts,,,,,,,,,,
11156,Nichts,,,,,,,,,,
11157,Nichts,Nichts,,,,,,,,,
11158,Nichts,,,,,,,,,,
11160,Nichts,,,,,,,,,,
11161,Nichts,,,,,,,,,,
11162,Nichts,,,,,,,,,,
11163,Nichts,,,,,,,,,,
11164,Nichts,,,,,,,,,,
11165,Nichts,,,,,,,,,,
11166,Nichts,,,,,,,,,,
11167,Es ist halt doch ein etwas umständlicher und langwieriger Prozess (EnergieberaterNichtsGenehmigungNichtsDokumentation des Projektes-AuszahlunNichts Ich zahle für gewöhnlich einfach meine Rechnung für die erbrachte Leistung und fertig NichtsFörderung habe ich nur auf Empfehlung meines Schreiners beantraNichts,Aufwändige Beantragung,,,,,,,,,
11168,Nichts,,,,,,,,,,
11169,Nichts,,,,,,,,,,
11170,Nichts,,,,,,,,,,
11171,Missgunst,Sonstiges,,,,,,,,,
11172,Nichts,,,,,,,,,,
11173,Nichts,,,,,,,,,,
11174,Nichts,,,,,,,,,,
11175,Nichts,,,,,,,,,,
11176,Nichts,,,,,,,,,,
11177,Nichts,,,,,,,,,,
11178,Nichts,,,,,,,,,,
11179,Nichts,Aufwändige Beantragung,,,,,,,,,
11180,Nichts,,,,,,,,,,
11181,Nichts,,,,,,,,,,
11182,Nichts,,,,,,,,,,
11183,Nichts,,,,,,,,,,
11184,Nichts,,,,,,,,,,
11185,Nichts,,,,,,,,,,
11186,Nichts,,,,,,,,,,
11187,Nichts,,,,,,,,,,
11188,Nichts,,,,,,,,,,
11189,Nichts,,,,,,,,,,
11190,Nichts,,,,,,,,,,
11191,Nichts,,,,,,,,,,
11192,Nichts,,,,,,,,,,
11193,Nichts,,,,,,,,,,
11194,Nichts,,,,,,,,,,
11195,Nichts,,,,,,,,,,
11197,Nichts,,,,,,,,,,
11198,Nichts,Nichts,,,,,,,,,
11199,Nichts,,,,,,,,,,
11200,Nichts,,,,,,,,,,
11201,Nichts,,,,,,,,,,
